#state,X,Y,Z
LWA265,-2409545.434432172,-4477764.364351143,3839285.7594128647
LWA263,-2409611.206530251,-4477967.0647178665,3839008.8230545204
LWA272,-2409874.8765015486,-4477266.645107614,3839656.1658477806
LWA270,-2409859.7840651604,-4477601.715780758,3839275.3127562576
LWA283,-2409999.3639944727,-4477620.703693886,3839163.955903305
LWA280,-2409923.898872708,-4477502.798202923,3839348.2252630927
LWA288,-2409814.192033969,-4477321.94420698,3839628.856231384
LWA284,-2409586.952353748,-4477623.320598586,3839424.8236008924
LWA292,-2410019.8177194092,-4477395.886955729,3839410.893039721
LWA291,-2410076.0641613696,-4477271.035942897,3839520.5244527133
LWA296,-2409808.1995816785,-4477425.284289774,3839512.2645093785
LWA295,-2409693.6324745095,-4477559.704285321,3839431.5167441256
LWA301,-2409811.100828445,-4477861.916184599,3839003.505974379
LWA298,-2408630.7425091974,-4477475.028013139,3840195.7401813907
LWA305,-2409610.6090282304,-4477681.264944175,3839342.09190107
LWA303,-2409682.653467399,-4477841.455814957,3839111.0978390314
LWA317,-2409643.2171274396,-4477791.302027941,3839194.0545994737
LWA306,-2409766.4292054954,-4477718.563008373,3839198.0198301957
LWA320,-2409951.653941339,-4477199.207302123,3839681.981175475
LWA318,-2409556.613892029,-4477890.329292755,3839132.640391835
LWA336,-2409849.2568939393,-4477451.609001406,3839456.6700880993
LWA335,-2410078.319293613,-4477500.642018247,3839252.4892792087
LWA343,-2409564.1223317552,-4477554.910494751,3839519.176977562
LWA337,-2409527.6602770826,-4477660.289650908,3839418.8768650196
LWA351,-2409909.922716702,-4477339.772951946,3839547.8956183256
LWA344,-2409746.3190529104,-4477610.542562851,3839337.3822114817
LWA360,-2409195.7046101727,-4478445.947930992,3838710.9777686843
LWA354,-2409743.999708481,-4476914.976398111,3840150.796480231
LWA002,-2409171.6812591264,-4477884.636825056,3839379.3686336433
LWA001,-2409166.185733693,-4477881.219902365,3839387.1490139207
LWA004,-2409178.09508705,-4477893.806486864,3839364.863551758
LWA003,-2409164.073004195,-4477891.6729021715,3839376.868336885
LWA006,-2409174.158871994,-4477903.117975151,3839356.661742063
LWA005,-2409160.982117245,-4477906.4292319985,3839361.468229401
LWA009,-2409178.288746009,-4477909.398644453,3839346.3982615373
LWA007,-2409156.348920366,-4477913.446918986,3839356.2094637435
LWA011,-2409170.0885684146,-4477917.089752353,3839342.698278825
LWA010,-2409186.8777512433,-4477906.3619415015,3839344.5628127814
LWA012,-2409172.5898412107,-4477920.191651506,3839337.463012981
LWA008,-2409175.21600964,-4477906.128066986,3839352.3173140474
LWA040,-2409190.7480049715,-4477884.085828881,3839368.023638531
